Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Backorders allowed?,Sold individually?,Regular price,Categories,Tags,Images,Parent,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Meta: dimensions,Meta: ean
variable,MU0100,Tricou - Mawi,1,0,visible,,"<p>Tricou tehnic unisex cu mâneci scurte și guler rotund, din poliester reciclat.                                         <br>· Wicking <br>· Breathable</p><p><strong>Compoziție:</strong> 100% poliester interlock reciclat</p><p><br>· Guler rotund cu 1,5 cm material propriu fără cusături externe.                                                                                                                           Bandă  elastică pentru acoperirea cusăturilor la guler.<br>· Finisaje cu cusături plate.<br>· Detaliu cu logo imprimat în zona pieptului.</p><h4>Dimensiuni</h4><table style='border-collapse:collapse;margin:8px 0'><tr><th style='padding:4px 12px;border:1px solid #ddd;text-align:left'>Mărime</th><th style='padding:4px 12px;border:1px solid #ddd;text-align:left'>Dimensiuni</th></tr><tr><td style='padding:4px 12px;border:1px solid #ddd'>XS</td><td style='padding:4px 12px;border:1px solid #ddd'>47 * 68 cm</td></tr><tr><td style='padding:4px 12px;border:1px solid #ddd'>S</td><td style='padding:4px 12px;border:1px solid #ddd'>50 * 70 cm</td></tr><tr><td style='padding:4px 12px;border:1px solid #ddd'>M</td><td style='padding:4px 12px;border:1px solid #ddd'>53 * 72 cm</td></tr><tr><td style='padding:4px 12px;border:1px solid #ddd'>L</td><td style='padding:4px 12px;border:1px solid #ddd'>56 * 73 cm</td></tr><tr><td style='padding:4px 12px;border:1px solid #ddd'>XL</td><td style='padding:4px 12px;border:1px solid #ddd'>59 * 74 cm</td></tr><tr><td style='padding:4px 12px;border:1px solid #ddd'>2XL</td><td style='padding:4px 12px;border:1px solid #ddd'>62 * 76 cm</td></tr><tr><td style='padding:4px 12px;border:1px solid #ddd'>3XL</td><td style='padding:4px 12px;border:1px solid #ddd'>65 * 79 cm</td></tr><tr><td style='padding:4px 12px;border:1px solid #ddd'>4/6</td><td style='padding:4px 12px;border:1px solid #ddd'>34 * 48 cm</td></tr><tr><td style='padding:4px 12px;border:1px solid #ddd'>8/10</td><td style='padding:4px 12px;border:1px solid #ddd'>40 * 55 cm</td></tr><tr><td style='padding:4px 12px;border:1px solid #ddd'>12/14</td><td style='padding:4px 12px;border:1px solid #ddd'>45 * 63 cm</td></tr></table>",taxable,1,0,0,,Tricouri și tricouri polo,MUSAI,"https://static.musaibrand.com/images/models/0100/model/large/0100_01_1_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_02_1_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_03_1_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_05_1_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_10_1_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_176_1_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_221_1_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_222_1_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_223_1_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_226_1_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_258_1_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_34_1_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_55_1_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_60_1_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_64_1_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_01_2_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_02_2_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_03_2_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_05_2_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_10_2_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_176_2_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_221_2_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_222_2_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_223_2_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_226_2_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_258_2_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_34_2_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_55_2_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_60_2_1.jpg,https://static.musaibrand.com/images/models/0100/model/large/0100_64_2_1.jpg",,0,Size,"XS, S, M, L, XL, 2XL, 3XL, 4/6, 8/10, 12/14",1,1,,Color,"Alb, Negru, Galben, Albastru regal, Sky blue, Fluor turcoaz, Galben fluor, Fluor verde, Fluor portocaliu, Fern Green, Gri deschis, Gum Pink, Albastru marin, ROȘU, Burgundy",1,1,,Gender,Bărbat,1,1,,Dimensiuni,"[47cm]·[68cm], [50cm]·[70cm], [53cm]·[72cm], [56cm]·[73cm], [59cm]·[74cm], [62cm]·[76cm], [65cm]·[79cm], [34cm]·[48cm], [40cm]·[55cm], [45cm]·[63cm]",1,0,,,
variation,MU01000001,,1,0,visible,,Dimensiuni: 47 * 68 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_01_2_1.jpg,MU0100,1,Size,XS,,1,,Color,Alb,,1,,,,,,,,,,,,[47cm]·[68cm],8435782500073
variation,MU01000101,,1,0,visible,,Dimensiuni: 50 * 70 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_01_2_1.jpg,MU0100,2,Size,S,,1,,Color,Alb,,1,,,,,,,,,,,,[50cm]·[70cm],8435782500219
variation,MU01000201,,1,0,visible,,Dimensiuni: 53 * 72 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_01_2_1.jpg,MU0100,3,Size,M,,1,,Color,Alb,,1,,,,,,,,,,,,[53cm]·[72cm],8435782500356
variation,MU01000301,,1,0,visible,,Dimensiuni: 56 * 73 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_01_2_1.jpg,MU0100,4,Size,L,,1,,Color,Alb,,1,,,,,,,,,,,,[56cm]·[73cm],8435782500493
variation,MU01000401,,1,0,visible,,Dimensiuni: 59 * 74 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_01_2_1.jpg,MU0100,5,Size,XL,,1,,Color,Alb,,1,,,,,,,,,,,,[59cm]·[74cm],8435782500639
variation,MU01000501,,1,0,visible,,Dimensiuni: 62 * 76 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_01_2_1.jpg,MU0100,6,Size,2XL,,1,,Color,Alb,,1,,,,,,,,,,,,[62cm]·[76cm],8435782500776
variation,MU01000601,,1,0,visible,,Dimensiuni: 65 * 79 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_01_2_1.jpg,MU0100,7,Size,3XL,,1,,Color,Alb,,1,,,,,,,,,,,,[65cm]·[79cm],8435782500912
variation,MU01007501,,1,0,visible,,Dimensiuni: 34 * 48 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_01_2_1.jpg,MU0100,8,Size,4/6,,1,,Color,Alb,,1,,,,,,,,,,,,[34cm]·[48cm],8435782501056
variation,MU01007601,,1,0,visible,,Dimensiuni: 40 * 55 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_01_2_1.jpg,MU0100,9,Size,8/10,,1,,Color,Alb,,1,,,,,,,,,,,,[40cm]·[55cm],8435782501193
