Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Backorders allowed?,Sold individually?,Regular price,Categories,Tags,Images,Parent,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Meta: dimensions,Meta: ean
simple,MU06119002,Rucsac sport - Seki,1,0,visible,,"<p>Rucsac sport multifuncțional ideal pentru antrenament, competiții și utilizare zilnică. Bază structurată și fermoar rezistent la apă pentru durabilitate și protecție.</p><p><strong>Compoziție:</strong> Piele ecologică premium (PU)</p><p><br>· Compartiment principal spațios, buzunar căptușit pentru laptop sau tabletă și secțiuni separate pentru haine sau încălțăminte.<br>· Buzunare laterale cu închidere cu fermoar, suport elastic pentru sticle și compartimente interioare pentru o organizare eficientă.<br>· Mânere întărite, curea de umăr reglabilă și curele ascunse pentru rucsac pentru un transport ergonomic.<br>· Capacitate: 30 l</p>",taxable,1,0,0,231,Accesorii,MUSAI,"https://static.musaibrand.com/images/models/0611/model/large/0611_02_1_1.jpg,https://static.musaibrand.com/images/models/0611/model/large/0611_02_2_1.jpg",,0,Size,UNICO,1,1,,Color,Negru,1,1,,Gender,Unisex,1,1,,Dimensiuni,,1,0,,,8435782528022
simple,MU06129002,Sac pentru mingii - FUKO,1,0,visible,,"<p>Geantă pentru mingi, ideală pentru antrenamente, meciuri sau depozitarea mingii.Curea de umăr pentru transport confortabil, care poate fi transformată în mânere duble pentru transport stil rucsac.</p><p><strong>Compoziție:</strong> 100% Poliester</p><p><br>· Capacitate de a transporta până la 15 mingii (dimensiune standard)<br>· Închidere superioară reglabilă cu șnur<br>· Fabricat din material de plasă rezistentă pentru o bună ventilație.<br>· Detaliu cu logo imprimat</p>",taxable,1,0,0,157.5,Accesorii,MUSAI,"https://static.musaibrand.com/images/models/0612/model/large/0612_02_1_1.jpg,https://static.musaibrand.com/images/models/0612/model/large/0612_02_2_1.jpg",,0,Size,UNICO,1,1,,Color,Negru,1,1,,Gender,Unisex,1,1,,Dimensiuni,,1,0,,,8435782527063
variable,MU2801,Fotbal - Pira,1,0,visible,,"<p>Minge de fotbal cu 32 panouri cusute cu tehnologie hibrid și înveliș PU rezistent la uzură. Include un tub de cauciuc ranforsat și spumă TPE pentru o atingere moale și o revenire uniformă în toate condițiile meteorologice. Supapă de butil pentru o reținere excelentă a aerului. Design aerodinamic echilibrat pentru o traiectorie precisă.</p><p><strong>Compoziție:</strong> Poliuretan (PU)· Spumă TPE</p><p><br>· Mărimea 4 <br>· Mărimea 5<br>· Grafică HD cu contrast ridicat pentru o vizibilitate mai mare pe toate tipurile de suprafețe.<br>· Necesită umflare.<br>· Greutate: 410–450 g/m²<br>· Circumferință: 68,0–70,0 cm<br>· Sfericitate: Max. 1,8%<br>· Valoare de ricoșeu: la 20 °C între 125–155 cm și la 5 °C minim 115 cm<br>· După 2000 de șuturi:- Starea cusăturilor: Neafectată.- Starea supapei: Neafectată.- Absorbția apei: Max. 10%- Creșterea circumferinței: Max. 1,5 cm.- Abatere de la sfericitate: Max. 1,8%- Schimbare de presiune: Max. 0,1 bar.</p>",taxable,1,0,0,,Accesorii,MUSAI,"https://static.musaibrand.com/images/models/2801/model/large/2801_01222_1_1.jpg,https://static.musaibrand.com/images/models/2801/model/large/2801_01222_2_1.jpg",,0,Size,"4, 5",1,1,,Color,Alb/Fluor verde,1,1,,Gender,Unisex,1,1,,Dimensiuni,,1,0,,,
variation,MU28012201222,,1,0,visible,,,taxable,1,0,0,126,,,https://static.musaibrand.com/images/models/2801/model/large/2801_01222_2_1.jpg,MU2801,1,Size,4,,1,,Color,Alb/Fluor verde,,1,,,,,,,,,,,,,8435782500059
variation,MU28012301222,,1,0,visible,,,taxable,1,0,0,126,,,https://static.musaibrand.com/images/models/2801/model/large/2801_01222_2_1.jpg,MU2801,2,Size,5,,1,,Color,Alb/Fluor verde,,1,,,,,,,,,,,,,8435782500066
variable,MU2802,Fotbal - Boka,1,0,visible,,"<p>Minge de fotbal cu panouri sigilate termic, care îmbunătățesc forma, reduc absorbția de apă și optimizează performanța. Are un înveliș PU texturat foarte durabil și spumă TPE pentru o mai bună senzație la atingere și pentru revenire. Cameră de cauciuc cu strat de latex și supapă de butil pentru o reținere optimă a aerului. Design aerodinamic cu geometrie avansată.</p><p><strong>Compoziție:</strong> Poliuretan avansat  (PU)· Spumă TPE</p><p><br>· Mărimea 4 <br>· Mărimea 5<br>· Grafică HD cu contrast ridicat pentru o vizibilitate maximă.<br>· Necesită umflare</p>",taxable,1,0,0,,Accesorii,MUSAI,"https://static.musaibrand.com/images/models/2802/model/large/2802_119_1_1.jpg,https://static.musaibrand.com/images/models/2802/model/large/2802_119_2_1.jpg",,0,Size,"4, 5",1,1,,Color,Multicolor,1,1,,Gender,Unisex,1,1,,Dimensiuni,,1,0,,,
variation,MU280222119,,1,0,visible,,,taxable,1,0,0,157.5,,,https://static.musaibrand.com/images/models/2802/model/large/2802_119_2_1.jpg,MU2802,1,Size,4,,1,,Color,Multicolor,,1,,,,,,,,,,,,,8435782500011
variation,MU280223119,,1,0,visible,,,taxable,1,0,0,157.5,,,https://static.musaibrand.com/images/models/2802/model/large/2802_119_2_1.jpg,MU2802,2,Size,5,,1,,Color,Multicolor,,1,,,,,,,,,,,,,8435782500028
variable,MU2803,Fotbal - Eneo,1,0,visible,,"<p>Minge de fotbal cu 32 panouri cusute manual cu fir în 5 straturi pentru o rezistență și durabilitate ridicate. Învelișul texturat din TPU, spuma Eva și dublura avansată din poliester oferă o atingere moale și o revenire consistentă. Cameră de butil de înaltă calitate pentru o formă și o reținere a aerului excelente. Design aerodinamic și echilibrat pentru un șut precis.</p><p><strong>Compoziție:</strong> 100% Poliester spumă EVA</p><p><br>· Mărimea 4 <br>· Mărimea 5<br>· Grafică HD cu contrast ridicat pentru o vizibilitate mai bună pe toate tipurile de terenuri de joc.<br>· Necesită umflare</p>",taxable,1,0,0,,Accesorii,MUSAI,"https://static.musaibrand.com/images/models/2803/model/large/2803_119_1_1.jpg,https://static.musaibrand.com/images/models/2803/model/large/2803_119_2_1.jpg",,0,Size,"4, 5",1,1,,Color,Multicolor,1,1,,Gender,Unisex,1,1,,Dimensiuni,,1,0,,,
variation,MU280322119,,1,0,visible,,,taxable,1,0,0,121.2,,,https://static.musaibrand.com/images/models/2803/model/large/2803_119_2_1.jpg,MU2803,1,Size,4,,1,,Color,Multicolor,,1,,,,,,,,,,,,,8435782500035
